match	sentence	collection	author	title	textClass	bibl	date
zugeschrieben	Magenbitter , denen eine verdauungsfördernde Wirkung zugeschrieben wird ,	kern	Kölling, Alfred	Fachbuch für Kellner	Gebrauchsliteratur	Kölling, Alfred: Fachbuch für Kellner, Leipzig: Fachbuchverl. VEB 1962 [1956], S. #page#	1956-12-31
verglichen	Das blutige Drama , das nun wiederum in Moskau aufgeführt wird , wird einer vernichtenden Kritik unterzogen und Stalin mit Iwan dem Schrecklichen und Nero verglichen .	kern	hm	Tiefste Abscheu in Holland	Zeitung::Berliner Ausgabe	Völkischer Beobachter (Berliner Ausgabe), 03.03.1938	1938-03-03
scheint	In den Vereinigten Staaten von Amerika scheint man immer mehr die deutsche Flotte als die künftige Gegnerin zu betrachten .	kern	unknown		Zeitung::Abend-Ausgabe	Berliner Tageblatt (Abend-Ausgabe), 02.02.1903	1903-02-02
behaupteten	In der » New York Times « meldeten sich Mitarbeiter der DEA zu Wort und behaupteten , an der ganzen Geschichte sei nichts dran .	kern	Günter Amendt	Die Contra Connection	Zeitung	konkret, 2000 [1987]	1987-10-02
versicherte	Nach italienischen Pressemeldungen vom 28. März erließ Ministerpräsident Mussolini anläßlich der Rückkehr der italienischen Truppen von der Ostfront einen Tagesbefehl , in welchem er die Kämpfer der 8. Armee , welche während der harten Winterkämpfe gegen die sowjetrussischen Truppen leuchtende Proben des Mutes und der Kühnheit abgegelegt hätten , der Dankbarkeit der Nation versicherte .	kern	unknown	Wehrmacht.	Zeitung::ITALIEN.	Archiv der Gegenwart, 2001 [1943]	1943-04-21
verknüpft	""" Die Frage von Veränderungen im Bestande des Kabinetts hat sich mit der Frage nach dem Schicksal der vierten Duma verknüpft ."	kern	Vorst, Hans	Die neue Tagung der Duma.	Zeitung::Abend-Ausgabe	Berliner Tageblatt (Abend-Ausgabe), 05.03.1917	1917-03-05
herausbringen	Die Krämpfe hat der Doktor herausbringen müssen , wenn er ihr helfen wollte .	kern	Seidel, Ina	Das Wunschkind	Belletristik::Roman	Seidel, Ina: Das Wunschkind, Frankfurt a. M. u. a.: Ullstein 1987 [1930], S. #page#	1930-12-31
tretend	Dabei war ihm ganz gegenwärtig , daß seltsamer Weise jene Editha Pastré , die vor vierzehn Jahren den Auftritt auf der von Stangeler so prompt erwähnten Strudlhofstiege veranlaßt hatte ( einen Vorgang , welcher ihr selbst , wohl möglich , unbekannt geblieben war ) , dieselbe Person sein sollte wie die hier sitzende Frau Schlinger , ach Editha , die Mitte in breiteren Schatten und wieder in's Licht tretend das Seidenbein - Leucht konnte es wohl allzu gut und allzu weit hinauf sehen - und der Fuß mit der kleinen dicklichen Rundung über dem Vorderleder des Schuhs !	kern	Doderer, Heimito von	Die Strudlhofstiege oder Melzer und die Tiefe der Jahre	Belletristik::Roman	Doderer, Heimito von: Die Strudlhofstiege oder Melzer und die Tiefe der Jahre, Gütersloh: Bertelsmann 1996 [1951], S. #page#	1951-12-31
antworte	Eigennamen entstehen ursprünglich überhaupt nicht , um eine Person von anderen zu unterscheiden , sondern , um sie anrufen zu können , und um sie so anrufen zu können , daß sie allein sich angeredet fühle und sie allein antworte .	kern	Martin Buber	Königtum Gottes	Wissenschaft	Buber, Martin: Königtum Gottes, Berlin: Schocken 1932, S. #page#	1932-12-31
dargestellt	Sicherlich müßte die Jugendpflege von dieser Seite noch viel eingehender dargestellt und gewürdigt werden .	kern	Schreiter, Otto	Soll und Haben des Elternhauses	Gebrauchsliteratur::Wissenschaft	Allgemeine Deutsche Lehrerzeitung, 1914, Nr. 2, Bd. 66	1914-01-15
zahlte	Die Marineverwaltung beschäftigte am 31. Oktober 1903 19,750 Arbeiter , zahlte 23,646,313 Mark jährlich an Löhne , für Krankenversicherung wurden 273,787 Mark aufgewendet ; die Arbeitszeit betrug 9 - 10 Stunden , Feiertagsdienst wird möglichst vermieden .	kern	unknown	Parlamentarische Nachrichten	Zeitung::Abend-Ausgabe	Berliner Tageblatt (Abend-Ausgabe), 04.03.1905	1905-03-04
erwecken	Dieser ständige Triumph der Vernunft über den Widerspruch ist wohl angetan , die größten Bedenken zu erwecken .	kern	Hartmann, Nicolai	Der Aufbau der realen Welt	Wissenschaft	Hartmann, Nicolai: Der Aufbau der realen Welt, Berlin: de Gruyter 1940, S. #page#	1940-12-31
schrie	Plötzlich rief sie , los , sag seine Augenfarbe , und ich sagte , ich lasse mich nicht wie ein dummer Junge examinieren , und sie schrie , los , sag sie , und ich ging wieder einmal aus der Wohnung .	kern	Becker, Jurek	Amanda herzlos	Belletristik::Roman	Becker, Jurek: Amanda herzlos, Frankfurt a. M.: Suhrkamp 1993 [1992], S. #page#	1992-12-31
bedeute	NUMEIRI habe den Sudan zu einem korrupten Polizeistaat gemacht , der die Bürgerrechte und -freiheiten ausgelöscht habe und öffentliche Mittel für persönliche Leibwachen und zur Bezahlung von Spionen gegen das Volk mißbraucht ; alle politischen und exekutiven Organe ( Sudanesische Sozialistische Union , Volksversammlung , Kabinett , Behörde für Nationale Sicherheit ) seien aufgelöst ; als die Revolution an die Macht gekommen sei , habe sie dem Volk Freiheit , Gerechtigkeit , nationale Einheit und Wohlstand versprochen ; die Freiheit bedeute Gefängnis und Folter , Unterdrückung von Gedankenfreiheit und Erziehungs-freiheit , Verstaatlichung der Zeitungen , Schließung der islamischen Universität und Unterdrückung jeder Freiheit an der Universität Khartum ; die Politik der neuen Regierung werde insbesondere folgende Prinzipien befolgen : Schutz des Landes vor dem Faschismus , Garantie der Pressefreiheit , der richterlichen Unabhängigkeit und der Unabhängigkeit der Universität Khartum .	kern	unknown	Gescheiterter Staatsstreichversuch in Sudan, für den Nimeiri Libyen verantwortlich macht	Zeitung::SUDAN. LIBYEN.	Archiv der Gegenwart, 2001 [1975]	1975-09-08
bewohnen	Ich hab sogar einen Vertrag in der Tasche , notariell bestätigt , daß ich auf Lebenszeit mein Kämmerchen da oben unterm Dach bewohnen , meine Tauben halten darf ; ich kann mir zum Frühstück , zum Mittagessen aussuchen , worauf ich Lust habe , und krieg noch einhundertundfünfzig Mark monatlich bar in die Hand gedrückt , dreimal soviel , wie ich wirklich für meinen Tabak brauche ; ich hab Freunde in Kopenhagen , in Paris und Warschau und Rom , und wenn du wüßtest , wie Brieftaubenleute zusammenhalten , - aber du weißt ja nichts , glaubst nur zu wissen , daß man mit Geld alles erreichen kann ; das sind so Lehren , wie ihr sie euch selbst erteilt .	kern	Böll, Heinrich	Billard um halb zehn	Belletristik	Böll, Heinrich: Billard um halb zehn, Leipzig: Insel-Verl. 1961 [1959], S. #page#	1959-12-31
ausgegangen	Ihres Wissens sind also diese Weisungen von Hitler ausgegangen , nicht vom Reichsbankpräsidenten ?	kern	unknown	Einhundertzweiter Tag. Montag, 8. April 1946	Gebrauchsliteratur	o. A.: Einhundertzweiter Tag. Montag, 8. April 1946. In: Der Nürnberger Prozeß, Berlin: Directmedia Publ. 1999 [1946], S. #page#	1946-04-08
bleiben	Das Komitee wird ferner in Anerkennung der bisher auf diesem Gebiete geleisteten Arbeiten des Völkerbundes und des Internationalen Arbeitsamtes auch weiterhin in enger Fühlung mit diesen Stellen bleiben .	kern	unknown	Flüchtlingsfragen.	Zeitung::JUDENTUM. VÖLKERBUND.	Archiv der Gegenwart, 2001 [1938]	1938-07-14
erstreckt	Sie erstreckt sich entweder auf alle oder auf gewisse Geschäfte , die der Betrieb des betreffenden Geschäftes gewöhnlich mit sich bringt , weshalb man allgemeine ( General- ) und besondere ( Spezial )-Vollmacht unterscheidet .	kern	Penndorf, Balduin	Die Berufsausbildung und Weiterbildung des Kaufmanns	Gebrauchsliteratur	Penndorf, Balduin: Die Berufsausbildung und Weiterbildung des Kaufmanns, Stuttgart: Violet [1912], S. #page#	1912-12-31
entstanden	Bald nach 1655 entstanden großangelegte , von schweren Wolken überzogene , oft schwermütige symbol. Flachlandschaften ( Judenfriedhof , Dresden , Gem. Gal. Alte Meister ) .	kern	unknown	Lexikon der Kunst - R	Wissenschaft	o. A.: Lexikon der Kunst - R. In: Olbrich, Harald (Hg.), Lexikon der Kunst, Berlin: Directmedia Publ. 2001 [1994], S. #page#	1994-12-31
Ziehen	"Er rief ihnen nach : "" Ziehen S' Ihnen das Drüllüch wird zur Ausbüldung getragen , wann i bitten darf ! """	kern	Noll, Dieter	Die Abenteuer des Werner Holt	Belletristik::Roman	Noll, Dieter: Die Abenteuer des Werner Holt, Berlin: Aufbau-Verl. 1984 [1960], S. #page#	1960-12-31
litt	Leise dabei schimpfte er vor sich hin , das Bier sei nicht warm genug ; denn er litt am Magen und durfte sein Bier nur gewärmt trinken .	kern	Feuchtwanger, Lion	Erfolg	Belletristik::Roman	Feuchtwanger, Lion: Erfolg. In: ders., Gesammelte Werke in Einzelbänden, Bd. 6, Berlin: Aufbau-Verl. 1993 [1930], S. #page#	1930-12-31
zugeben	Eher werde er sie und ihre Söhne umbringen , als zugeben , daß sie Christen würden .	kern	Stucken, Eduard	Die weißen Götter	Belletristik	Stucken, Eduard: Die weißen Götter, Stuttgart: Stuttgarter Hausbücherei [1960] [1919], S. #page#	1919-12-31
beherrschte	Man kann sich denken , wie mir zu Mute war , aber ich beherrschte mich und tat , was ich schon jahrelang in solchen Fällen zu tun gewohnt war , ich war still , nahm den Hut und ging .	kern	May, Karl	Mein Leben und Streben	Gebrauchsliteratur::Autobiographien	May, Karl: Mein Leben und Streben, Selbstbiographie von Karl May, Bd. I. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1910], S. #page#	1910-12-31
pflegt	Wo der Habsucht die ganz positiven , von außen kommenden Fixierungen und Haltpunkte fehlen , pflegt sie sich ganz formlos und mit wachsender Heftigkeit zu ergießen .	kern	Simmel, Georg	Philosophie des Geldes	Wissenschaft::Philosophie	Simmel, Georg: Philosophie des Geldes. In: Philosophie von Platon bis Nietzsche, Berlin: Directmedia Publ. 2000 [1900], S. #page#	1900-12-31
erlebt	Schicksale , die er in dem einen und in dem anderen Falle erlebt , hallen völlig verschiedenen Sinn .	kern	Simmel, Georg	Philosophie des Geldes	Wissenschaft::Philosophie	Simmel, Georg: Philosophie des Geldes. In: Philosophie von Platon bis Nietzsche, Berlin: Directmedia Publ. 2000 [1900], S. #page#	1900-12-31
gestärkt	Sie hat aber die in sie gesetzten Erwartungen insofern nicht erfüllt , als das Vertrauen des Publikums zu den Banken nicht gestärkt wurde und daher auch die Banknotenhamsterei nicht abnahm .	kern	unknown	Währung, Wirtschaftshilfe Banken, Bankenaufsicht, Bahnen, Landwirtschaft.	Zeitung::VEREINIGTE STAATEN.	Archiv der Gegenwart, 2001 [1932]	1932-03-27
schnoberte	Irgendwo schnoberte das Pferd vom Laufer .	kern	Hartung, Hugo	Ich denke oft an Piroschka	Belletristik::Roman	Hartung, Hugo: Ich denke oft an Piroschka, Frankfurt a. M.: Büchergilde Gutenberg 1980 [1954], S. #page#	1954-12-31
ersucht	Vp. ) beantragte Resolution verhandelt , die die Regierung ersucht , bis zur dritten Lesung des Etats ihr Einverständnis dahin zu erklären , daß den Oberpost- und Telegraphenassistenten sowie den Vorstehern der Postämter dritter Klasse , soweit diese vor dem 1. Januar 1900 in den Dienst der Post- und Telegraphenverwaltung eingetreten sind , eine persönliche pensionsfähige Zulage von hundert Mark nach fünfzehn Jahren gewährt wird , die sich nach achtzehn Jahren auf zweihundert und nach einundzwanzig Jahren dreihundert Die Regierung erklärt die Resolution für durch aus unannehmbar . Die Verhandlung hierüber wird Donnerstag fortgesetzt .	kern	unknown	Der Postetat in der Kommission.	Zeitung::Abend-Ausgabe	Berliner Tageblatt (Abend-Ausgabe), 01.03.1911	1911-03-01
aufgegriffen	Solange für uns alle die Gefahr besteht , von den Besatzern aufgegriffen zu werden , müssen Sie sich dies eine genau einprägen :	kern	Beyer, Marcel	Flughunde	Belletristik	Beyer, Marcel: Flughunde, Frankfurt a. M.: Suhrkamp 1995 [1995], S. #page#	1995-12-31
dahingestellt	Dadurch wurde der Prozeß der Geldmarktverflüssigung , der sich aus dem zu jener Zeit noch ziemlich depressiven Tiefstand der Wirtschaft erklärte und Anfang 1927 seinen Höhepunkt erreichte , stark gefördert . Die Reichsbank sah in dieser Verflüssigung Gefahren - ob mit Recht , sei zunächst dahingestellt .	kern	Heinzelmann, Ernst	Devisenpolitik	Zeitung::Morgen-Ausgabe	Vossische Zeitung (Morgen-Ausgabe), 03.04.1928	1928-04-03
mitgewaschen	Die Wäsche des Mädchens muß regelmäßig mitgewaschen werden .	kern	Oheim, Gertrud	Das praktische Haushaltsbuch	Gebrauchsliteratur	Oheim, Gertrud: Das praktische Haushaltsbuch, Gütersloh: Bertelsmann 1967 [1954], S. #page#	1954-12-31
fliege	Eben will ich nach Steuerbord abdrehen , um die Valdiviakette zu durchbrechen , als sich mit der hier üblichen Plötzlichkeit der ganze Himmel wieder überzieht , dicke mächtige Wollenballen türmen sich vor uns auf , und leuchten rot in der Abendsonne , wo unter uns die einzelnen hohen Berge ragen , türmen sich auch die Wolken wie Bergspitzen aus dem übrigen Wogenmeer , vorsichtig fliege ich darum herum .	kern	unknown	Im Flugzeug über das Feuerland	Zeitung::Berliner Ausgabe	Völkischer Beobachter (Berliner Ausgabe), 08.03.1929	1929-03-08
treten	Im Dreck sitzen ( stecken ) : in Not und Bedrängnis sein , wie das Fuhrwerk , das im Kot versunken ist und sich ohne fremde Hilfe nicht befreien kann ; vgl. französisch 'être dans la merde' ( umgangssprachlich ) ; ähnlich Es geht ihm dreckig ; Aus dem größten Dreck heraus sein : das Unangenehmste hinter sich haben ; In den Dreck treten : etwas Unrechtes tun , einen Fehltritt begehen und sich dadurch in Ungunst setzen ; Jemanden in den Dreck treten : ihn unwürdig behandeln , nach Hiob 30 , 19 ; Etwas ( jemanden ) in ( durch ) den Dreck ( Kakao ) ziehen : Häßliches , Verleumderisches über etwas ( jemanden ) sagen ; Sich um seinen eigenen Dreck kümmern , ähnlich wie die Redensart ' Vor seiner eigenen Tür kehren' , Tür ; vgl. französisch 'se mêler de ses oignons' ( wörtlich : sich um seine eigenen Zwiebeln kümmern ) .	kern	Röhrich, Lutz	Dreck	Wissenschaft	Röhrich, Lutz: Dreck. In: Lexikon der sprichwörtlichen Redensarten [Elektronische Ressource], Berlin: Directmedia Publ. 2000 [1994], S. #page#	1994-12-31
handeln	Als die einzige männliche Stütze der Mutter , der Schwestern glaubt er so handeln zu müssen .	kern	Meysenbug, Malwida von	Unerfüllt	Belletristik	Meysenbug, Malwida von: Unerfüllt. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1907], S. #page#	1907-12-31
lasse	""" Hanna sagt ja , sie lasse es nicht ertrinken ! """	kern	Sapper, Agnes	Werden und Wachsen	Belletristik::Roman	Sapper, Agnes: Werden und Wachsen, Hannover: Gundert 1967 [1910], S. #page#	1910-12-31
festlegt	Wenn - etwa durch das Fremdwort Auto oder eine Nebenbedeutung von Wagen - ein bisher nicht existierender Begriff ins Lexikon eingeht , dann ist ihm ein Netz von Merkmalkomplexen vorgegeben , das sogleich seine systematischen Beziehungen festlegt : es gibt Antonyme , Oberbegriffe , die neue Bedeutung hat mit bereits vorhandenen Komplexen gemeinsame Teilstrukturen usw .	kern	Bierwisch, Manfred	Strukturalismus	Wissenschaft	Kursbuch, 1966, Bd. 5	1966-05-30
verwirrte	Ihm schlug das herrschende Duftgemisch wie eine Faust ins Gesicht , machte ihn , je nach Konstitution , exaltiert oder benommen , verwirrte in jedem Falle seine Sinne derart , daß er oft nicht mehr wußte , weshalb er überhaupt gekommen war .	kern	Süskind, Patrick	Das Parfum	Belletristik::Roman	Süskind, Patrick: Das Parfum, Zürich: Diogenes 1985, S. #page#	1985-12-31
ausgepackt	""" Du bist ja wahnsinnig , Töchterchen "" , entfuhr es Elke , die ein Glas mit blauen Badesalzkugeln ausgepackt hatte ."	kern	Jentzsch, Kerstin	Seit die Götter ratlos sind	Belletristik::Roman	Jentzsch, Kerstin: Seit die Götter ratlos sind, München: Heyne 1999 [1994], S. #page#	1994-12-31
abstammen	"So ist es z. B. auch mit der Definition , die Cuvier gab : "" Die Art ist der Inbegriff aller Individuen , die die wesentlichsten Eigenschaften gemeinsam haben , voneinander abstammen und fruchtbare Nachkommen erzeugen . """	kern	Hesse, Richard	Der Tierkörper als selbständiger Organismus	Wissenschaft	Hesse, Richard: Der Tierkörper als selbständiger Organismus, Leipzig u. a.: B. G. Teubner 1910, S. #page#	1910-12-31
anerkannt	Falsch : in Schweden ist das Recht auf Kriegsdienstverweigerung seit dem 21. Mai 1920 gesetzlich anerkannt .	kern	Kurt Tucholsky:Ignaz Wrobel	Das Nachschlagewerk als politische Waffe	Zeitung	Tucholsky, Kurt: Das Nachschlagewerk als politische Waffe. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1929]	1929-08-20
ansammeln	Den Kot entleeren die Bienen im Freien , sie können ihn in ihrer Kotblase ansammeln .	kern	Wiehle, Hermann / Harm, Marie	Lebenskunde für Mittelschulen	Gebrauchsliteratur	Wiehle, Hermann u. Harm, Marie: Lebenskunde für Mittelschulen - Klasse 3, Halle u. a.: Schroedel u. a. 1941, S. #page#	1941-12-31
fürchten	Die einmal erweckte Vorstellung lockt zum Weitervordringen , die zweite Enttäuschung läßt eine dritte fürchten , nach der vierten gibt man die Hoffnung auf und eilt , so schnell man kann , aus der fünften Schlinge , eilte auch dann , wenn erst sie das Sehenswerte böte , was sie aber nicht tut !	kern	Gütersloh, Albert Paris	Sonne und Mond	Belletristik	Gütersloh, Albert Paris: Sonne und Mond, München: Piper 1984 [1962], S. #page#	1962-12-31
erzogen	Ihre Erziehung ist doch zum Teil mein Werk ; ma cousine ist eine energische Frau und hat die einzige Tochter mit vieler Konsequenz erzogen , aber wenn sie mich nicht zur Seite gehabt hätte , wäre es doch nicht so geworden .	kern	Meysenbug, Malwida von	Zu spät	Belletristik	Meysenbug, Malwida von: Zu spät. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1907], S. #page#	1907-12-31
liest	Wer Cavalcantes Aufschrei hört : non fiere li occhi suoi il dolce lome ? - oder wer den schönen , sanften , und auf eine so bezaubernde Art frauenhaften Vers liest , den Pia de ' Tolomei sagt , bevor sie Dante bittet , auf Erden ihrer zu gedenken ( e riposato de la lunga via , Purg. 5 , 131 ) - dessen innere Bewegung gilt den Menschen und nicht unmittelbar der göttlichen Ordnung , in der sie ihre Erfüllung gefunden haben ; ihre ewige Lage in der göttlichen Ordnung wird nur bewußt als ein Schauplatz , dessen Unwiderruflichkeit die Wirkung ihres in all seiner Kraft erhaltenen Menschentums noch steigert .	kern	Auerbach, Erich	Mimesis	Wissenschaft	Auerbach, Erich: Mimesis, Bern: Francke 1959 [1946], S. #page#	1946-12-31
behandelt	O. Redlichs ( 836 ) Nachtrag zu seiner Ausgabe der Brixener Traditionen behandelt eine vereinzelte , genau datierte Eintragung in einer weitgereisten Gregoriushandschrift der Schloßbibliothek von Hohenaschau ( am Chiemsee ) , die in den Traditionsbüchern fehlt .	kern		Jahresberichte für deutsche Geschichte	Wissenschaft::Geschichte	Jahresberichte für deutsche Geschichte, 1927, S. #page#	1927-12-31
machen	"So muß denn die Buchhandlung im wahrsten Sinne des Wortes "" Stimmung machen "" ."	kern	Wolff, W. H.	Bücher verkauft man durch Stimmungsmache.	Gebrauchsliteratur::Zeitung	Reklame-Praxis, 1927, Nr. 10, Bd. 3	1927-06-01
fragte	» Warum sollte ich Sie hassen , Franke ? « fragte er höhnisch .	kern	Hohlbein, Wolfgang	Das Druidentor	Belletristik	Hohlbein, Wolfgang: Das Druidentor, Stuttgart: Weitbrecht 1993, S. #page#	1993-12-31
tritt	Die Heilige Synode verurteilt die Regierung , die sich nicht nur über den Wählerwillen hinweggesetzt hat , sondern vor allem auch unsere ruhmreiche und schmerzliche Geschichte mit Füßen tritt .	kern			Zeitung::POL	Die Zeit, 10.01.1997, Nr. 3	1997-01-10
hinkniete	Er hatte ein verworrenes , ertrinkendes und undurchsichtiges Gefühl , als er neben dem Mann hinkniete und die Dielen unter sich knarren hörte , mit einem seltsam lebendigen und eindringlichen Laut .	kern	Baum, Vicky	Menschen im Hotel	Belletristik	Baum, Vicky: Menschen im Hotel, München: Droemersche Verlagsanstalt 1956 [1929], S. #page#	1929-12-31
geht	Sie nickt mir mit eisigem Lächeln kaum zu - und geht .	kern	Goote, Thor [d.i. Werner v. Langsdorff]	Die Fahne Hoch!	Belletristik	Goote, Thor [d.i. Langsdorff, Werner von]: Die Fahne Hoch!, Berlin: Zeitgeschichte-Verlag 1933 [1933], S. #page#	1933-12-31
ruckte	Schwahl erhob sich , ruckte sich in den Schultern zurecht , schob den Bauch vor und stemmte die Fäuste in die Seiten .	kern	Apitz, Bruno	Nackt unter Wölfen	Belletristik	Apitz, Bruno: Nackt unter Wölfen, Reinbek bei Hamburg: Rowohlt 1961 [1958], S. #page#	1958-12-31
stellen	An dem Abend wußte er mich nicht zu stellen .	kern	Bergg, Franz	Ein Proletarierleben	Gebrauchsliteratur::Autobiographien	Bergg, Franz: Ein Proletarierleben. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1913], S. #page#	1913-12-31
geblinzelt	Zweiling hatte die Zunge vorgeschoben und nachdenklich geblinzelt .	kern	Apitz, Bruno	Nackt unter Wölfen	Belletristik	Apitz, Bruno: Nackt unter Wölfen, Reinbek bei Hamburg: Rowohlt 1961 [1958], S. #page#	1958-12-31
bezog	"Die scharfe Kritik des jetzigen Wirtschaftsministers CAVALLO gegen Korruption und mafiaartige Verbindungen zwischen Politikern und großen monopolartigen Wirtschaftsunternehmen bezog sich auch auf Erman GONZALEZ , ohne daß dieser direkt von seinem Amtsnachfolger und Parteifreund CAVALLO genannt wurde . """	kern	unknown	Auslieferung Priebkes beschlossen; weitere innen- und außenpolitische Ereignisse	Zeitung::ARGENTINIEN.	Archiv der Gegenwart, 2001 [1995]	1995-11-02
warnen	Und sie muß mich warnen , daß ich keine Freundschaft mit ihm mache .	kern	Thoma, Ludwig	Tante Frieda	Belletristik	Thoma, Ludwig: Tante Frieda. In: ders., Lausbubengeschichten, Frankfurt a. M.: Büchergilde Gutenberg 1961 [1907], S. #page#	1907-12-31
niederzuwerfen	Es gelingt der Königsmacht nach und nach , sämtliche aufständischen Fürsten niederzuwerfen und das Land wieder in eigene Hand zu bekommen .	kern	Petersen, Jes	Erde und Mensch	Gebrauchsliteratur	Petersen, Jes: Erde und Mensch, Berlin: Columbus-Verl. [1935] [1925], S. #page#	1925-12-31
verhandelt	Vor dem » Volksgerichtshof des Großdeutschen Reiches « wird gegen 8 aus dem Heer ausgestoßene Attentäter des 20. Juli verhandelt .	kern	unknown	Chronik deutscher Zeitgeschichte - 1944	Wissenschaft	o. A.: 1944. In: Overresch, Manfred u. Saal, Friedrich Wilhelm (Hgg.) Deutsche Geschichte von Tag zu Tag 1918-1949, Berlin: Directmedia Publ. 2000 [1983], S. #page#	1983-12-31
nimmt	Aber nicht so einen , wie es Künstler wohl zu tun pflegen : voller Laune , die auf nichts Rücksicht nimmt als auf den guten Geschmack , wirbelnd , tobend . . . nein , so nicht .	kern	Kurt Tucholsky:	K.-K.	Zeitung	Tucholsky, Kurt: K.-K. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1913]	1913-05-31
eintraf	Die Kommission begab sich zunächst nach Japan ( 1950 ) , wo sie Ende Februar eintraf .	kern	unknown	Konflikt. VÖLKERBUND. Lytton-Bericht, Übersicht.	Zeitung::CHINA -- JAPAN.	Archiv der Gegenwart, 2001 [1932]	1932-11-21
hing	Dann versuchte er sich an den Schreibtisch zu setzen , was nicht leicht war , denn das Stroh des Stuhlsitzes hing in Fetzen herab .	kern	Sling	Wie man so lebt.	Zeitung::Sonntags-Ausgabe	Vossische Zeitung (Sonntags-Ausgabe), 06.03.1921	1921-03-06
getan	Die Agenten seines Dienstes werden wegen Landesverrats verfolgt , weil sie für ihr Land , die DDR , dasselbe getan haben , was ihre Kollegen im Westen auch getan haben , ohne dafür bestraft zu werden .	kern	Hannover, Heinrich	Die Republik vor Gericht 1975 - 1995	Gebrauchsliteratur::Belletristik	Hannover, Heinrich: Die Republik vor Gericht 1975 - 1995, Berlin: Aufbau-Taschenbuch-Verl. 2001 [1999], S. #page#	1999-12-31
stören	Wie es gerade Hypochondern zuweilen passiert - weil sie eben Hypochonder sind - nahm ich die Sache , die mir als Fachmann von vornherein hätte bedenklich scheinen müssen , nicht recht ernst , behandelte sie mit Jodpinselungen und Umschlägen und ließ mich in meiner sonstigen Lebensweise nicht im allergeringsten stören .	kern	Schnitzler, Arthur	Jugend in Wien	Gebrauchsliteratur::Autobiographien	Schnitzler, Arthur: Jugend in Wien, Eine Autobiographie. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1918], S. #page#	1918-12-31
reichten	Es waren tatsächlich Riesen , denn ihre Schädel reichten über den Rand des Felsenturms hinaus .	kern	Dark, Jason [d.i. Rellergrad, Helmut]	Die Skelett-Vampire	Belletristik::Roman	Dark, Jason [d.i. Rellergrad, Helmut]: Die Skelett-Vampire, Bergisch Gladbach: Bastei 1992 [1978], S. #page#	1978-12-31
einbeziehen	Nicht konkrete Güter , denn diese haben sie gekauft - von andern oder von sich selbst - , nicht die Kaufkraft , mit der sie kauften , denn diese haben sie sich ausgeliehen - von andern oder , wenn wir Errungenschaften aus frühern Perioden auch einbeziehen wollten , von sich selbst - .	kern	Schumpeter, Joseph	Theorie der wirtschaftlichen Entwicklung	Wissenschaft::Wirtschaft	Schumpeter, Joseph: Theorie der wirtschaftlichen Entwicklung, Berlin: Duncker u. Humblot 1997 [1912], S. #page#	1912-12-31
angesehen	Die Hitze der Auspuffgase wurde Jahrzehnte hindurch nur als eine unangenehme , aber unvermeidliche Eigenschaft angesehen , mit der man nichts anzufangen wußte .	kern	Dillenburger, Helmut	Das praktische Autobuch	Gebrauchsliteratur	Dillenburger, Helmut: Das praktische Autobuch, Gütersloh: Bertelsmann 1965 [1957], S. #page#	1957-12-31
herstellend	Ein fadendünnes Lächeln lag ihm zwischen den Lippen , er schwenkte die Augen von Höfel auf Kluttig , die Verständigung mit diesem herstellend .	kern	Apitz, Bruno	Nackt unter Wölfen	Belletristik	Apitz, Bruno: Nackt unter Wölfen, Reinbek bei Hamburg: Rowohlt 1961 [1958], S. #page#	1958-12-31
leitet	Vlasak leitet nunmehr das Ministerium für Wirtschaftsplanung , Hruskovie das für Technologie , Staneel das für Arbeit und Soziales , Hula die Staatliche Preisbehörde ; das Ministerium für Schwerindustrie wurde in Ministerium für Hüttenwesen und Maschinenbau umbenannt .	kern	unknown	Fortgang der Ereignisse in der CSSR; Stellungnahmen der Ostblockländer; Moskauer Treffen	Zeitung::TSCHECHOSLOWAKEI. OSTBLOCK.	Archiv der Gegenwart, 2001 [1968]	1968-06-28
stand	Der Raum , in dem Anton L. nun stand , gehörte zum klassizistischen ( dem jüngsten ) Teil der Residenz .	kern	Rosendorfer, Herbert	Großes Solo für Anton	Belletristik::Roman	Rosendorfer, Herbert: Großes Solo für Anton, Zürich: Diogenes 2000 [1976], S. #page#	1976-12-31
